STATEFP,COUNTYFP,COUNTYNS,CNTYIDFP,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2000,ESTIMATESB,POPESTIMAT,POPESTIMA2,POPESTIMA3,POPESTIMA4,POPESTIMA5,POPESTIMA6,POPESTIMA7,POPESTIMA8,POPESTIMA9,POPESTIM10,POPESTIM11,POPESTIM12,PCTCHANGE,County Name,TotPctChg,NPPctChng,GOPPctChng,DemPctChng
31,017,00835830,31017,Brown,Brown County,06,H1,G4020,,,,A,-2147483648,9710570,+42.3493902,-099.9231761,050,2,4,31,017,Nebraska,Brown County,3525,3525,3532,3505,3486,3461,3418,3302,3287,3192,3113,3075,3101,3110,-0.12,BROWN,-11.375,9.770114943,-15.32258065,-43.63001745
31,049,00835846,31049,Deuel,Deuel County,06,H1,G4020,,,,A,1139208818,2230956,+41.1129877,-102.3326036,050,2,4,31,049,Nebraska,Deuel County,2098,2089,2083,2066,1997,1979,1961,1922,1877,1877,1866,1813,1802,1798,-0.14,DEUEL,1.955307263,78.86178862,13.15868714,-24.71910112
31,061,00835852,31061,Franklin,Franklin County,06,H1,G4020,,,,A,1491351993,487899,+40.1832030,-098.9620800,050,2,4,31,061,Nebraska,Franklin County,3574,3569,3521,3431,3436,3383,3341,3341,3260,3111,3064,3073,3104,3114,-0.12,FRANKLIN,-11.18012422,68.7804878,7.695895522,-34.46327684
31,019,00835831,31019,Buffalo,Buffalo County,06,H1,G4020,,28260,,A,-2147483648,18897190,+40.8552259,-099.0749833,050,2,4,31,019,Nebraska,Buffalo County,42259,42232,42336,42428,42944,43233,43701,44042,44521,44919,45192,45833,45943,45981,0.09,BUFFALO,29.54912197,112.1929825,-2.41984271,-6.542056075
31,063,00835853,31063,Frontier,Frontier County,06,H1,G4020,,,,A,-2147483648,14212837,+40.5309468,-100.4066833,050,2,4,31,063,Nebraska,Frontier County,3099,3089,3064,3017,2954,2869,2847,2772,2683,2641,2549,2511,2478,2466,-0.2,FRONTIER,-4.120603015,79.10447761,-8.344549125,-28.62745098
31,145,00835894,31145,Red Willow,Red Willow County,06,H1,G4020,,,,A,1856991016,2643458,+40.1694195,-100.4685763,050,2,4,31,145,Nebraska,Red Willow County,11448,11456,11475,11425,11330,11230,11139,11038,10878,10697,10633,10678,10676,10674,-0.07,RED WILLOW,4.633371824,76.20253165,3.932853717,-28.88583219
31,143,00835893,31143,Polk,Polk County,06,H1,G4020,,,,A,1135022333,5926088,+41.1879253,-097.5706626,050,2,4,31,143,Nebraska,Polk County,5639,5629,5599,5484,5469,5405,5306,5273,5176,5178,5103,5077,5050,5040,-0.1,POLK,-3.625209147,67.41573034,22.76647501,-31.76661264
31,183,00835913,31183,Wheeler,Wheeler County,06,H1,G4020,,,,A,1489717157,1059454,+41.9378588,-098.5222885,050,2,4,31,183,Nebraska,Wheeler County,886,888,884,852,827,801,792,808,797,804,796,770,775,776,-0.12,WHEELER,7.755775578,30.23255814,-1.061007958,-34.18803419
31,069,00835856,31069,Garden,Garden County,06,H1,G4020,,,,A,-2147483648,68874638,+41.6593814,-102.3282289,050,2,4,31,069,Nebraska,Garden County,2292,2294,2282,2268,2213,2201,2115,1961,1941,1849,1787,1768,1790,1796,-0.21,GARDEN,-8.662345315,74.41860465,-1.235444476,-40.89834515
31,095,00835869,31095,Jefferson,Jefferson County,06,H1,G4020,,,,A,1476771461,14204829,+40.1757355,-097.1431026,050,2,4,31,095,Nebraska,Jefferson County,8333,8340,8304,8217,8135,7993,7904,7766,7665,7428,7310,7190,7108,7080,-0.15,JEFFERSON,-10.13607816,62.01834862,29.07842015,-25.41332074
